Phecode,phenotype,num_sig_MixEHR_SAGE,num_sig_binary,shared significant loci,Binary significant unique loci,MixEHR-SAGE unique loci,Total significant loci hit
411.4,Coronary atherosclerosis,24,25,11,14,13,38
272.11,Hypercholesterolemia,23,22,10,12,13,35
427.2,Atrial fibrillation and flutter,19,22,7,15,12,34
401.1,Essential hypertension,26,29,23,6,3,32
454.1,Varicose veins of lower extremity,21,21,11,10,10,31
495,Asthma,20,20,11,9,9,29
550.1,Inguinal hernia,14,14,7,7,7,21
172.2,Other non-epithelial cancer of skin,16,16,12,4,4,20
244.4,Hypothyroidism NOS,14,16,12,4,2,18
250.2,Type 2 diabetes,11,13,7,6,4,17
174.11,Malignant neoplasm of female breast,12,13,9,4,3,16
574.1,Cholelithiasis,11,10,6,4,5,15
574.12,Cholelithiasis with other cholecystitis,8,7,2,5,6,13
411.3,Angina pectoris,9,8,5,3,4,12
562.1,Diverticulosis,7,8,5,3,2,10
411.2,Myocardial infarction,7,7,6,1,1,8
208,Benign neoplasm of colon,3,6,3,3,0,6
218.1,Uterine leiomyoma,3,5,3,2,0,5
600,Hyperplasia of prostate,3,3,2,1,1,4
411.1,Unstable angina (intermediate coronary syndrome),3,3,2,1,1,4
455,Hemorrhoids,3,4,3,1,0,4
622.1,Polyp of corpus uteri,2,0,0,0,2,2
550.2,Diaphragmatic hernia,2,1,1,0,1,2
626.12,Excessive or frequent menstruation,2,1,1,0,1,2
366,Cataract,2,2,2,0,0,2
459.9,Circulatory disease NEC,2,2,2,0,0,2
318,Tobacco use disorder,1,0,0,0,1,1
306,Other mental disorder,1,0,0,0,1,1
618.1,Prolapse of vaginal walls,1,0,0,0,1,1
655,Known or suspected fetal abnormality affecting management of mother,1,0,0,0,1,1
615,Endometriosis,1,0,0,0,1,1
480,Pneumonia,1,0,0,0,1,1
351,Other peripheral nerve disorders,1,1,1,0,0,1
530.14,Reflux esophagitis,1,1,1,0,0,1
214.1,Lipoma of skin and subcutaneous tissue,1,1,1,0,0,1
278.1,Obesity,1,1,1,0,0,1
80,Postoperative infection,1,1,1,0,0,1
366.2,Senile cataract,1,1,1,0,0,1
272.1,Hyperlipidemia,1,1,1,0,0,1
785,Abdominal pain,0,0,0,0,0,0
418,Nonspecific chest pain,0,0,0,0,0,0
1019,Other ill-defined and unknown causes of morbidity and mortality,0,0,0,0,0,0
558,Noninfectious gastroenteritis,0,0,0,0,0,0
578.8,Hemorrhage of rectum and anus,0,0,0,0,0,0
593,Hematuria,0,0,0,0,0,0
535,Gastritis and duodenitis,0,0,0,0,0,0
960.2,Allergy/adverse effect of penicillin,0,0,0,0,0,0
627.1,Postmenopausal bleeding,0,0,0,0,0,0
564.9,Personal history of diseases of digestive system,0,0,0,0,0,0
561,Symptoms involving digestive system,0,0,0,0,0,0
1009,"Injury, NOS",0,0,0,0,0,0
665,Obstetrical/birth trauma,0,0,0,0,0,0
591,Urinary tract infection,0,0,0,0,0,0
789,Nausea and vomiting,0,0,0,0,0,0
285,Other anemias,0,0,0,0,0,0
530.11,GERD,0,0,0,0,0,0
565,Anal and rectal conditions,0,0,0,0,0,0
216,Benign neoplasm of skin,0,0,0,0,0,0
535.6,Duodenitis,0,0,0,0,0,0
535.8,Other specified gastritis,0,0,0,0,0,0
339,Other headache syndromes,0,0,0,0,0,0
563,Constipation,0,0,0,0,0,0
788,Syncope and collapse,0,0,0,0,0,0
41,Bacterial infection NOS,0,0,0,0,0,0
735.3,Hallux valgus (Bunion),0,0,0,0,0,0
596,Other disorders of bladder,0,0,0,0,0,0
470,Septal Deviations/Turbinate Hypertrophy,0,0,0,0,0,0
628,Ovarian cyst,0,0,0,0,0,0
760,Back pain,0,0,0,0,0,0
689,Disorder of skin and subcutaneous tissue NOS,0,0,0,0,0,0
565.1,Anal and rectal polyp,0,0,0,0,0,0
726,Peripheral enthesopathies and allied syndromes,0,0,0,0,0,0
626.14,Irregular menstrual bleeding,0,0,0,0,0,0
618.2,Uterine/Uterovaginal prolapse,0,0,0,0,0,0
530.12,Ulcer of esophagus,0,0,0,0,0,0
634,Miscarriage; stillbirth,0,0,0,0,0,0
317,Alcohol-related disorders,0,0,0,0,0,0
850,Hemorrhage or hematoma complicating a procedure,0,0,0,0,0,0
740.1,Osteoarthritis; localized,0,0,0,0,0,0
532,Dysphagia,0,0,0,0,0,0
564.1,Irritable Bowel Syndrome,0,0,0,0,0,0
835,Internal derangement of knee,0,0,0,0,0,0
646,Other complications of pregnancy NEC,0,0,0,0,0,0
622.2,Mucous polyp of cervix,0,0,0,0,0,0
599.2,Retention of urine,0,0,0,0,0,0
479,Other upper respiratory disease,0,0,0,0,0,0
851,Complications of transplants and reattached limbs,0,0,0,0,0,0
599.5,Frequency of urination and polyuria,0,0,0,0,0,0
661,Fetal distress and abnormal forces of labor,0,0,0,0,0,0
706.2,Sebaceous cyst,0,0,0,0,0,0
512.7,Shortness of breath,0,0,0,0,0,0
871,Open wounds of extremities,0,0,0,0,0,0
790.6,Other abnormal blood chemistry,0,0,0,0,0,0
650,Normal delivery,0,0,0,0,0,0
317.1,Alcoholism,0,0,0,0,0,0
716.9,Arthropathy NOS,0,0,0,0,0,0
531.2,Gastric ulcer,0,0,0,0,0,0
159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum,0,0,0,0,0,0
327.3,Sleep apnea,0,0,0,0,0,0
198.1,Secondary malignancy of lymph nodes,0,0,0,0,0,0
